x	I	R	a	n	L	aE
36364.7	2.34579e+010	0.266943	2.34579e+010	2.292	3.75888e-005	7.9989e+008
18182.1	9.38432e+010	0.266968	9.38432e+010	2.29212	7.51745e-005	6.40001e+009
12121.4	2.11275e+011	0.26701	2.11275e+011	2.29231	0.000112802	2.1613e+010
9091.04	3.75779e+011	0.267069	3.75779e+011	2.29258	0.000150421	5.12555e+010
7272.86	5.87573e+011	0.267145	5.87573e+011	2.29293	0.000188075	1.00179e+011
6060.69	8.46846e+011	0.267237	8.46846e+011	2.29335	0.000225761	1.73262e+011
5194.89	1.15385e+012	0.267347	1.15385e+012	2.29386	0.000263488	2.75418e+011
4545.52	1.50889e+012	0.267473	1.50889e+012	2.29444	0.000301264	4.11619e+011
4040.47	1.91246e+012	0.267616	1.91246e+012	2.29509	0.000339122	5.86923e+011
3636.42	2.36463e+012	0.267776	2.36463e+012	2.29583	0.000377009	8.06329e+011
3305.84	2.86605e+012	0.267954	2.86605e+012	2.29665	0.000414968	1.07504e+012
3030.35	3.41721e+012	0.268149	3.41721e+012	2.29754	0.000453008	1.3983e+012
2797.25	4.01856e+012	0.26836	4.01856e+012	2.29852	0.000491123	1.7814e+012
2597.45	4.67091e+012	0.26859	4.67091e+012	2.29957	0.000529344	2.22985e+012
2424.28	5.3747e+012	0.268836	5.3747e+012	2.30071	0.000567653	2.74911e+012
2272.76	6.13058e+012	0.2691	6.13058e+012	2.30193	0.000606057	3.34479e+012
2139.07	6.93969e+012	0.269382	6.93969e+012	2.30323	0.000644594	4.02288e+012
2020.23	7.80244e+012	0.269682	7.80244e+012	2.30461	0.000683237	4.78906e+012
1913.91	8.72007e+012	0.269999	8.72007e+012	2.30608	0.000722023	5.64965e+012
1818.21	9.69319e+012	0.270335	9.69319e+012	2.30763	0.000760932	6.61065e+012
1731.63	1.07229e+013	0.270688	1.07229e+013	2.30926	0.00079998	7.67856e+012
1652.92	1.18105e+013	0.27106	1.18105e+013	2.31098	0.000839193	8.86011e+012
1581.05	1.29569e+013	0.27145	1.29569e+013	2.31279	0.00087856	1.0162e+013
1515.18	1.41636e+013	0.271859	1.41636e+013	2.31468	0.000918106	1.15913e+013
1454.57	1.54319e+013	0.272287	1.54319e+013	2.31666	0.000957841	1.31555e+013
1398.62	1.67627e+013	0.272734	1.67627e+013	2.31874	0.000997741	1.48616e+013
1346.82	1.81581e+013	0.2732	1.81581e+013	2.3209	0.00103787	1.67179e+013
